distancePixel,angle,aspRatio,normalized_BBsize,relative_height,horizontal_offset,vertical_offset,log_distPix,distanceReal
164.526,358.97,1.02041,0.00149536,18.375,0.342708,-0.00615938,5.10913,1.72
168.66,358.813,1.04167,0.00146484,18,0.3513,-0.00727764,5.1338,1.85
172.43,358.536,1.02222,0.00126343,16.875,0.359113,-0.00917623,5.15578,1.94
175.825,358.33,1.04545,0.00123535,16.5,0.366146,-0.0106741,5.17516,2.10
179.938,358.478,1.04762,0.00112793,15.75,0.374739,-0.00995983,5.19816,2.24
182.908,358.893,1.02439,0.00105103,15.375,0.380988,-0.00736511,5.21444,2.36
186.321,358.411,1.05263,0.000927734,14.25,0.388019,-0.0107644,5.23282,2.52
187.798,358.698,1.05263,0.000927734,14.25,0.391145,-0.00888966,5.24068,2.61
187.066,358.469,1.02703,0.000858154,13.875,0.389582,-0.0104106,5.23679,2.55
190.806,358.607,1.05556,0.000834961,13.5,0.397394,-0.00966499,5.25648,2.77
193.637,357.014,1.05882,0.00074707,12.75,0.402863,-0.0210113,5.27114,2.93
198.3,358.705,1.0625,0.000664063,12,0.41302,-0.00933521,5.29481,3.25
200.921,358.771,1.03226,0.000605469,11.625,0.418489,-0.00897665,5.30788,3.45
202.425,358.726,1.03448,0.000531006,10.875,0.421615,-0.00937485,5.3153,3.60
205.042,358.844,1.03448,0.000531006,10.875,0.427083,-0.00861771,5.32808,3.84
52.2511,35.2226,0.878049,0.00360352,30.75,0.0889267,0.0627834,3.97502,0.27
58.1737,24.8865,0.977778,0.00483398,33.75,0.109941,0.0510017,4.08048,0.34
89.9874,22.1779,1,0.0038092,29.625,0.173604,0.0707683,4.51072,0.59
147.071,26.1596,1.02416,0.0452328,100.875,0.275013,0.135083,4.99769,0.27
85.1997,28.3945,0.986667,0.0135498,56.25,0.156145,0.084408,4.45667,0.27
62.203,25.8004,0.974359,0.00814087,43.875,0.116671,0.0564022,4.14635,0.27
153.566,25.247,1.06161,0.0288477,79.125,0.289368,0.136456,5.04062,0.40
105.506,23.4478,1,0.0104742,49.125,0.201653,0.0874625,4.6682,0.40
84.8781,21.0567,0.973684,0.00772339,42.75,0.165022,0.0635333,4.45293,0.40
181.585,25.1651,1.03704,0.0226099,70.875,0.342395,0.160864,5.20721,0.55
118.264,22.266,0.97479,0.00842529,44.625,0.228012,0.0933568,4.78134,0.55
106.689,23.5989,0.972222,0.00307617,27,0.20368,0.0889808,4.67924,0.74
79.8588,24.8474,1,0.00420471,31.125,0.150971,0.0699101,4.3927,0.50
70.2865,17.5214,0.976744,0.00440918,32.25,0.139636,0.0440846,4.26671,0.43
102.215,18.3671,1,0.00334229,27.75,0.2021,0.0671008,4.63681,0.70
122.521,18.5763,1,0.00290588,25.875,0.241953,0.0813149,4.81641,0.96
160.19,19.0859,1,0.00165039,19.5,0.315385,0.109125,5.08259,1.62
170.899,19.462,1.08696,0.00140381,17.25,0.335697,0.118626,5.14691,1.97
184.17,19.2409,1.05,0.00102539,15,0.362256,0.126441,5.22128,2.46
180.456,19.4705,1.07317,0.00110107,15.375,0.354451,0.125312,5.20102,2.32
187.485,19.6982,1.02564,0.000952148,14.625,0.367737,0.131656,5.23902,2.64
191.086,19.712,1.05556,0.000834961,13.5,0.374767,0.134275,5.25794,2.85
196.988,19.9801,1.0625,0.000664063,12,0.385691,0.140228,5.28821,3.22
199.424,20.0113,1.0303,0.000684814,12.375,0.390384,0.142175,5.30044,3.44
202.179,19.6677,1.03226,0.000605469,11.625,0.396632,0.141763,5.31409,3.68
204.668,20.0586,1.03448,0.000531006,10.875,0.400528,0.146245,5.32626,3.92
206.86,20.2049,1.03704,0.000461426,10.125,0.404439,0.148844,5.33686,4.12
209.552,20.4197,1.07692,0.000444336,9.75,0.409133,0.152315,5.34973,4.40
211.585,20.1539,1.04,0.000396729,9.375,0.413813,0.151875,5.35934,4.67
213.707,19.951,1.08333,0.000380859,9,0.418502,0.151917,5.36927,5.00
59.9828,52.2975,0.779221,0.00281982,28.875,0.0764232,0.0988712,4.11059,0.30
70.4661,76.465,2.10256,0.0019519,14.625,0.034358,0.142727,4.26922,0.26
74.0389,66.5471,1,0.00400452,30.375,0.0613897,0.141505,4.31801,0.44
140.418,61.8986,0.993197,0.0523975,110.25,0.137795,0.258052,4.95172,0.28
85.0972,62.8079,1.01307,0.0144745,57.375,0.0810153,0.157692,4.45548,0.28
70.4919,63.1191,1.04065,0.00960937,46.125,0.0664,0.13099,4.26958,0.29
145.813,59.03,1.02564,0.0342773,87.75,0.15632,0.260469,4.98916,0.38
102.712,62.8608,1.00356,0.0120914,52.6875,0.0976098,0.190425,4.64162,0.38
173.167,64.2824,1.00917,0.0292725,81.75,0.156549,0.325029,5.16001,0.50
118.828,62.0256,1.01961,0.0101166,47.8125,0.116124,0.218633,4.78606,0.50
97.1787,63.299,1,0.00586182,36.75,0.0909703,0.180866,4.58679,0.50
195.22,64.6219,0.981707,0.0161157,61.5,0.174311,0.36746,5.27924,0.60
135.392,63.3802,1.02905,0.00911987,45.1875,0.126386,0.252168,4.91554,0.60
110.9,64.0471,0.978947,0.00539246,35.625,0.101111,0.207741,4.7176,0.60
213.742,63.4483,1.02381,0.00992065,47.25,0.19905,0.398331,5.36944,1.00
166.24,63.3483,1,0.00472656,33,0.155353,0.309535,5.11943,1.00
146.112,64.8273,1.04167,0.0032959,27,0.129476,0.27549,4.99119,1.00
108.55,93.37,1.22826,0.101523,138,-0.0132937,0.225755,4.69638,0.20
66.8304,87.9975,1.03571,0.0178418,63,0.00486521,0.139145,4.21701,0.20
68.9082,91.8148,1.85938,0.00464844,24,-0.00454633,0.143487,4.24718,0.20
152.862,90.0366,1.04825,0.0332593,85.5,-0.000203491,0.318463,5.03606,0.35
78.2475,89.9636,1,0.00711914,40.5,0.000103436,0.163016,4.37258,0.35
177.252,89.7255,1.10119,0.0189697,63,0.00176897,0.369272,5.1832,0.55
124.694,87.2591,0.987013,0.0080365,43.3125,0.0124223,0.259482,4.83385,0.55
185.048,86.7902,0.958333,0.0121289,54,0.0215859,0.384911,5.226,0.70
182.919,88.7929,0.909091,0.00966797,49.5,0.00802821,0.380996,5.21449,0.78
186.324,88.3704,0.972222,0.00692139,40.5,0.0110393,0.388019,5.23284,0.90
195.635,89.3884,0.946429,0.00724609,42,0.00435064,0.407549,5.28135,1.00
164.154,88.9075,0.953488,0.0043042,32.25,0.00652076,0.341925,5.10688,1.00
50.0731,176.789,0.95122,0.00390381,30.75,-0.104155,0.00584236,3.93326,0.20
62.2448,174.793,1,0.00494385,33.75,-0.129142,0.0117681,4.14701,0.33
88.1867,175.164,0.9875,0.00385742,30,-0.183068,0.0154878,4.49073,0.54
104.319,177.051,0.986301,0.00320801,27.375,-0.217044,0.0111807,4.65699,0.70
137.742,180.965,1.03506,0.0427886,97.5938,-0.286921,-0.00483421,4.93261,0.25
